OBJECTID,ADDRESSBLO,ADDRESSBUI,ADDRESSPOS,ADDRESSSTR,LATITUDE,LONGITUDE
11414,546A,MULTI STOREY CAR PARK,731546,WOODLANDS DRIVE 16,1.429795015949497,103.79340350806885
11415,578A,MULTI STOREY CAR PARK,731578,WOODLANDS DRIVE 16,1.4313734793377066,103.79667663762766
11416,701A,MULTI STOREY CAR PARK,731701,WOODLANDS DRIVE 40,1.441105574229975,103.79598781457621
11417,709A,MULTI STOREY CAR PARK,731709,WOODLANDS DRIVE 70,1.441112062044548,103.79801062556864
11418,288,COMPASSVALE CAPE,540288,COMPASSVALE CRESCENT,1.3988017872085876,103.89750352880492
11419,289A,COMPASSVALE CAPE,541289,COMPASSVALE CRESCENT,1.397720200483765,103.89772003841377
11420,289B,COMPASSVALE CAPE,542289,COMPASSVALE CRESCENT,1.3976782209164842,103.89738838836459
11421,511,OLEANDER BREEZE @ YISHUN,760511,YISHUN STREET 51,1.415124878105046,103.84185295389396
11422,448B,FERNVALE CREST,792448,SENGKANG WEST WAY,1.3934370860583487,103.87328930534618
11423,275,HDB-BUKIT PANJANG,670275,BANGKIT ROAD,1.3768348511325685,103.77482552453034
11424,230A,,651230,BUKIT BATOK STREET 21,1.3475508646285126,103.75578273237267
11425,128,BUKIT MERAH VIEW,150128,BUKIT MERAH VIEW,1.2826460909000141,103.8233267843802
11426,998,BUANGKOK PARKVISTA,530998,BUANGKOK CRESCENT,1.3842176503828207,103.87965557315911
11427,240C,JURONG EAST VISTA,603240,JURONG EAST AVENUE 1,1.3406383680822045,103.74247417848986
11428,461,WEST ROCK @ BUKIT BATOK,650461,BUKIT BATOK WEST AVENUE 8,1.3546125261178685,103.73972133085273
11429,448A,MULTI STOREY CAR PARK,571448,BRIGHT HILL DRIVE,1.3578472596034523,103.83162414327944
11430,463A,WEST PLAINS @ BUKIT BATOK,651463,BUKIT BATOK STREET 41,1.3563309473194902,103.74219426265527
11431,468,WEST PLAINS @ BUKIT BATOK,650468,BUKIT BATOK WEST AVENUE 9,1.356092977233621,103.74237312355815
11432,467C,WEST PLAINS @ BUKIT BATOK,653467,BUKIT BATOK WEST AVENUE 9,1.3559217129408525,103.74255134485864
11433,628A,MULTI STOREY CAR PARK,651628,BUKIT BATOK CENTRAL,1.350944695134983,103.74994430862093
11434,417,FERNVALE RIVERWALK,790417,FERNVALE LINK,1.391582903304309,103.87985040961338
11435,222,MATILDA EDGE,820222,SUMANG LANE,1.4011115659597442,103.89427058842685
11436,208,COMPASSVALE CREST,540208,COMPASSVALE LANE,1.3840279729383127,103.89810420265158
11437,210,COMPASSVALE BEACON,540210,COMPASSVALE LANE,1.3852970705291585,103.90002860315649
11438,275,ASPELLA,540275,COMPASSVALE LINK,1.3831535987292656,103.89434767348901
11439,269,COMPASSVALE ARCADIA,540269,COMPASSVALE LINK,1.3843884818322432,103.89563258683607
11440,98A,MULTI STOREY CAR PARK,321098,WHAMPOA DRIVE,1.3215497416249666,103.85463457041256
11441,85A,MULTI STOREY CAR PARK,321085,WHAMPOA DRIVE,1.322932387994644,103.85629782200225
11442,32A,MULTI STOREY CAR PARK,321032,JALAN BAHAGIA,1.3259774676615148,103.85769625916829
11443,737A,MULTI STOREY CAR PARK,731737,WOODLANDS CIRCLE,1.4432141329718204,103.79636670740408
11444,887,TREEGROVE@WOODLANDS,730887,WOODLANDS DRIVE 50,1.437551987181593,103.79469788119367
11445,892C,MULTI STOREY CAR PARK,732892,WOODLANDS DRIVE 50,1.4367840619523693,103.78940929100392
11446,891C,MULTI STOREY CAR PARK,732891,WOODLANDS DRIVE 50,1.4381855239793482,103.79145280319554
11447,525A,MULTI STOREY CAR PARK,731525,WOODLANDS DRIVE 14,1.432569336209031,103.79291657307758
11448,517A,MULTI STOREY CAR PARK,731517,WOODLANDS DRIVE 14,1.434150421331434,103.79150814111587
11449,516A,MULTI STOREY CAR PARK,731516,WOODLANDS DRIVE 14,1.4341723231195103,103.79077206589766
11450,671A,MULTI STOREY CAR PARK,731671,WOODLANDS DRIVE 71,1.4395030307580114,103.79929176364219
11451,51,BLANGAH VIEW,100051,TELOK BLANGAH DRIVE,1.2734923770754816,103.8097443124965
11452,78B,,102078,TELOK BLANGAH STREET 32,1.273629329891793,103.80825457050233
11453,278,TOH GUAN VIEW,600278,TOH GUAN ROAD,1.3409009066463977,103.7464367502839
11454,267,TOH GUAN VIEW,600267,TOH GUAN ROAD,1.3411166999811552,103.7447943327882
11455,286C,HDB-JURONG EAST,603286,TOH GUAN ROAD,1.3389448515132225,103.74445190116474
11456,274,TOH GUAN VIEW,600274,TOH GUAN ROAD,1.3420976578427788,103.74670992753822
